"Room","GPP (g C)","Rm (g C)","Cs (g C)","Rg (g C)","Cn (g C)"
"1",6.07059310989607,0.609402975199141,2.22319777052821,0.666959331158463,2.57103303301026
"2",12.323140217149,2.62820958414807,4.42229814467432,1.3266894434023,3.94594304492432
"3",15.3408724148204,5.16176451898302,6.05579067766479,1.81673720329944,2.30658001487316
"4",18.0248277190748,8.78341743125626,7.07085948479284,2.12125784543785,0.0492929575878769
"5",11.7251233117962,7.03099702229875,6.23058606165152,1.86917581849546,-3.40563559064949
"6",7.39226243550158,3.48633809311776,3.80392344935891,1.14117703480767,-1.03917614178276
